from,to,weight
2,39,1
71,72,1
76,25,1
23,94,1
18,67,1
29,78,1
38,4,1
64,71,1
96,94,1
29,80,1
56,92,1
31,38,1
70,51,1
20,86,1
9,84,1
100,88,1
95,25,1
59,71,1
61,66,1
53,17,1
26,29,1
78,84,1
87,36,1
43,89,1
40,91,1
99,75,1
55,95,1
26,63,1
20,32,1
51,15,1
29,56,1
61,99,1
36,8,1
26,16,1
73,70,1
42,62,1
88,9,1
12,37,1
55,63,1
59,58,1
49,85,1
1,28,1
6,79,1
66,30,1
62,58,1
37,66,1
94,56,1
34,23,1
92,72,1
72,50,1
4,24,2
49,39,2
90,51,2
6,68,2
66,76,2
6,88,2
6,15,2
43,66,2
5,18,2
35,40,2
57,93,2
60,79,2
39,27,2
70,65,2
98,93,2
33,58,2
58,45,2
10,66,2
85,34,2
41,28,2
10,22,2
10,54,2
87,48,2
47,90,2
43,18,2
99,41,2
69,85,2
30,4,2
25,53,2
13,29,2
20,19,2
99,77,2
47,40,2
22,14,2
83,78,2
6,82,3
81,78,3
97,2,3
64,98,3
8,4,3
35,86,3
47,74,3
81,46,3
11,23,3
44,94,3
21,19,3
3,71,3
52,82,4
7,92,5
