Depth,AVL_Frequency,Treap_Frequency
6,0,3
7,0,28
8,0,110
9,0,335
10,0,1082
11,0,2336
12,0,5849
13,1,12151
14,206,23263
15,11718,41863
16,177316,68731
17,923875,105055
18,1774780,149416
19,1246279,200403
20,277506,253087
21,11880,301907
22,0,341984
23,0,367920
24,0,377577
25,0,368904
26,0,345604
27,0,309118
28,0,267159
29,0,221614
30,0,176731
31,0,135415
32,0,100037
33,0,71147
34,0,48177
35,0,31751
36,0,20470
37,0,12432
38,0,7313
39,0,4034
40,0,2169
41,0,1184
42,0,537
43,0,302
44,0,129
45,0,57
46,0,19
47,0,2
48,0,5
49,0,2
